"","Title","JournalSource","Year...5","Abstract","DOI","URL","NewLatitude","NewLongitude","RelevantSpecies"
"1","A Comparison of Egg Funnel and Egg Bag Estimates of Egg Deposition in Grand Traverse Bay, Lake Michigan","NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT",2011,"Reefs are used for spawning by Great Lakes fishes such as the lake trout Salvelinus namaycush, lake whitefish Coregonus clupeaformis, and cisco C. artedi. We designed egg funnels as a new type of sampling gear for quantifying egg deposition while minimizing losses of eggs to physical disturbance and predation. Egg funnels were compared with traditionally used egg bags to quantify egg deposition by spawning fish. In addition, the efficiencies of the egg funnels and egg bags were measured by seeding each gear type with artificial lake trout and lake whitefish eggs in situ. Egg funnels were as efficient as or more efficient than egg bags for capturing artificial eggs and naturally deposited lake trout eggs in both 2008 and 2009. Egg funnels had lower efficiency than egg bags for capture of natural coregonid eggs in 2008, potentially due to avoidance of the gear by spawners; gear avoidance was reduced by burying the egg funnels more deeply in 2009. Accurate estimates of egg deposition will assist fisheries managers in making more-informed decisions for management actions, such as stocking strategies and habitat protection.","10.1080/02755947.2011.598421","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1080/02755947.2011.598421","43.85545","-87.08198","Salvelinus namaycush"
"2","A comparison of lake trout spawning, fry emergence, and habitat use in Lakes Michigan, Huron, and Champlain","JOURNAL OF GREAT LAKES RESEARCH",2005,"Restoration of self-sustaining populations of lake trout is underway in all of the Great Lakes and Lake Champlain, but restoration has only been achieved in Lake Superior and in Party Sound, Lake Huron. We evaluated progress toward restoration by comparing spawning habitat availability, spawner abundance, egg and fry density, and egg survival in Parry Sound in Lake Huron, in Lake Michigan, and in Lake Champlain in 2000-2003. Divers surveyed and assessed abundance of spawners at 5 to 15 sites in each lake. Spawning adults were sampled using standardized gill nets, eggs were sampled using egg bags, and fry were sampled using emergent fry traps and egg bags left on spawning reefs overwinter. Spawning habitat was abundant in each lake. Adult lake trout abundance was low in Lake Michigan and Parry Sound, and very high at one site in Lake Champlain. Egg deposition was lowest in Lake Michigan (0.4-154.5 eggs circle m(-2), median = 1.7), intermediate in Parry Sound (39-1,027 eggs circle m(-2), median = 278), and highest in Lake Champlain (0.001-9,623 eggs circle m(-2), median = 652). Fry collections in fry traps followed the same trend: no fry in Lake Michigan, 0.005-0.06 fry circle trap(-1) day(-1) in Parry Sound, and 0.08-3.6 fry circle trap(-1) in Lake Champlain. Egg survival to hatch in overwinter egg bags was similar in Lake Michigan (7.6%) and Parry Sound (2.3-8.9%) in 2001-02, and varied in Lake Champlain (0.4-1.1% in 2001-02, and 1.8-18.2 in 2002-03). Lake trout restoration appears unlikely in northern Lake Michigan at current adult densities, and failure of restoration in Lake Champlain suggests that there are sources of high mortality that occur after fry emergence.",NA,NA,"44.33413","-73.31610","Salvelinus namaycush"
"3","A comparison of lake trout spawning, fry emergence, and habitat use in Lakes Michigan, Huron, and Champlain","JOURNAL OF GREAT LAKES RESEARCH",2005,"Restoration of self-sustaining populations of lake trout is underway in all of the Great Lakes and Lake Champlain, but restoration has only been achieved in Lake Superior and in Party Sound, Lake Huron. We evaluated progress toward restoration by comparing spawning habitat availability, spawner abundance, egg and fry density, and egg survival in Parry Sound in Lake Huron, in Lake Michigan, and in Lake Champlain in 2000-2003. Divers surveyed and assessed abundance of spawners at 5 to 15 sites in each lake. Spawning adults were sampled using standardized gill nets, eggs were sampled using egg bags, and fry were sampled using emergent fry traps and egg bags left on spawning reefs overwinter. Spawning habitat was abundant in each lake. Adult lake trout abundance was low in Lake Michigan and Parry Sound, and very high at one site in Lake Champlain. Egg deposition was lowest in Lake Michigan (0.4-154.5 eggs circle m(-2), median = 1.7), intermediate in Parry Sound (39-1,027 eggs circle m(-2), median = 278), and highest in Lake Champlain (0.001-9,623 eggs circle m(-2), median = 652). Fry collections in fry traps followed the same trend: no fry in Lake Michigan, 0.005-0.06 fry circle trap(-1) day(-1) in Parry Sound, and 0.08-3.6 fry circle trap(-1) in Lake Champlain. Egg survival to hatch in overwinter egg bags was similar in Lake Michigan (7.6%) and Parry Sound (2.3-8.9%) in 2001-02, and varied in Lake Champlain (0.4-1.1% in 2001-02, and 1.8-18.2 in 2002-03). Lake trout restoration appears unlikely in northern Lake Michigan at current adult densities, and failure of restoration in Lake Champlain suggests that there are sources of high mortality that occur after fry emergence.",NA,NA,"44.893166","-82.455855","Salvelinus namaycush"
"4","A comparison of lake trout spawning, fry emergence, and habitat use in Lakes Michigan, Huron, and Champlain","JOURNAL OF GREAT LAKES RESEARCH",2005,"Restoration of self-sustaining populations of lake trout is underway in all of the Great Lakes and Lake Champlain, but restoration has only been achieved in Lake Superior and in Party Sound, Lake Huron. We evaluated progress toward restoration by comparing spawning habitat availability, spawner abundance, egg and fry density, and egg survival in Parry Sound in Lake Huron, in Lake Michigan, and in Lake Champlain in 2000-2003. Divers surveyed and assessed abundance of spawners at 5 to 15 sites in each lake. Spawning adults were sampled using standardized gill nets, eggs were sampled using egg bags, and fry were sampled using emergent fry traps and egg bags left on spawning reefs overwinter. Spawning habitat was abundant in each lake. Adult lake trout abundance was low in Lake Michigan and Parry Sound, and very high at one site in Lake Champlain. Egg deposition was lowest in Lake Michigan (0.4-154.5 eggs circle m(-2), median = 1.7), intermediate in Parry Sound (39-1,027 eggs circle m(-2), median = 278), and highest in Lake Champlain (0.001-9,623 eggs circle m(-2), median = 652). Fry collections in fry traps followed the same trend: no fry in Lake Michigan, 0.005-0.06 fry circle trap(-1) day(-1) in Parry Sound, and 0.08-3.6 fry circle trap(-1) in Lake Champlain. Egg survival to hatch in overwinter egg bags was similar in Lake Michigan (7.6%) and Parry Sound (2.3-8.9%) in 2001-02, and varied in Lake Champlain (0.4-1.1% in 2001-02, and 1.8-18.2 in 2002-03). Lake trout restoration appears unlikely in northern Lake Michigan at current adult densities, and failure of restoration in Lake Champlain suggests that there are sources of high mortality that occur after fry emergence.",NA,NA,"43.85545","-87.08198","Salvelinus namaycush"
"5","A specialised cannibalistic Arctic charr morph in the piscivore guild of a subarctic lake","HYDROBIOLOGIA",2016,"Arctic charr (Salvelinus alpinus) is generally considered an inferior piscivore compared to brown trout (Salmo trutta). However, we demonstrate that a recently described profundal spawning piscivore PP-morph of Arctic charr in a subarctic lake has evolved typical piscivore traits (i.e. large jaws, robust skulls), similar to the co-occurring brown trout but different from the sympatric littoral spawning omnivore LO-morph of Arctic charr. A few large-sized LO-morph, most large-sized PP-morph and trout constitute the piscivore guild, but they differed in prey fish selection. Of the fish-eating deep-water PP-morph, 52% had consumed charr, with a peak during the polar night period (68-80% in November-January). In contrast, the LO-morph and trout were mainly (similar to 90%) inter-specific piscivores eating stickleback. Consequently, the PP-morph was the main charr predator and started to feed on fish at a smaller size and took larger prey relative to their body length than the trout. Stable isotope (delta C-13, delta N-15) ratios reflect the dietary specialisations in the upper-water (LO-morph, trout) and the deep-water (PP-morph) environments, besides the piscivorous behaviour of the PP-morph and trout. The existence of a shallow-water piscivore (trout) may explain the origin of this PP-morph, taking benefit of underutilised resources of small-sized Arctic charr in the deep-water habitat.","10.1007/s10750-015-2601-x","https://link.springer.com/content/pdf/10.1007%2Fs10750-015-2601-x.pdf","69.951757","19.155429","Salvelinus alpinus"
"6","Acidic groundwater discharge and in situ egg survival in redds of lake-spawning brook trout","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",2005,"Spawning of brook trout Salvelinus fontinalis in lakes occurs over areas of groundwater discharge. The rate and chemistry of groundwater discharge influence brook trout egg survival and reproductive Success. While most studies have reported that groundwater discharge in brook trout redds is buffered relative to the surrounding lake water, we documented brook trout spawning over an area of acidic groundwater discharge (pH as low as 4.7) in a lake with circumneutral surface waters (pH > 6.1). A follow-up experiment that assessed in situ egg survival indicated 0% survival in redds with either low-pH groundwater or adequate groundwater pH but low groundwater discharge. More than 80% of eggs survived in a reference lake with well-buffered groundwater and adequate discharge rates. These results suggest that both low pH and low groundwater flow rates may contribute to brook trout egg mortality. Low-pH groundwater may be a factor to consider in brook trout restoration efforts, especially in lakes where whole-lake liming has been unsuccessful in reestablishing wild brook trout populations.","10.1577/T04-180.1 WE - Science Citation Index Expanded (SCI-EXPANDED)",NA,"43.613106","-74.935770","Salvelinus fontinalis"
"7","Acidic groundwater discharge and in situ egg survival in redds of lake-spawning brook trout","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",2005,"Spawning of brook trout Salvelinus fontinalis in lakes occurs over areas of groundwater discharge. The rate and chemistry of groundwater discharge influence brook trout egg survival and reproductive Success. While most studies have reported that groundwater discharge in brook trout redds is buffered relative to the surrounding lake water, we documented brook trout spawning over an area of acidic groundwater discharge (pH as low as 4.7) in a lake with circumneutral surface waters (pH > 6.1). A follow-up experiment that assessed in situ egg survival indicated 0% survival in redds with either low-pH groundwater or adequate groundwater pH but low groundwater discharge. More than 80% of eggs survived in a reference lake with well-buffered groundwater and adequate discharge rates. These results suggest that both low pH and low groundwater flow rates may contribute to brook trout egg mortality. Low-pH groundwater may be a factor to consider in brook trout restoration efforts, especially in lakes where whole-lake liming has been unsuccessful in reestablishing wild brook trout populations.","10.1577/T04-180.1 WE - Science Citation Index Expanded (SCI-EXPANDED)",NA,"43.679629","-74.922321","Salvelinus fontinalis"
"8","Acoustic estimates of abundance and distribution of spawning lake trout on Sheboygan Reef in Lake Michigan","JOURNAL OF GREAT LAKES RESEARCH",2009,"Efforts to restore self-sustaining lake trout (Salvelinus namaycush) populations in the Laurentian Great Lakes have had widespread success in Lake Superior; but in other Great Lakes, populations of lake trout are maintained by stocking. Recruitment bottlenecks may be present at a number of stages of the reproduction process. To study eggs and fry, it is necessary to identify spawning locations, which is difficult in deep water. Acoustic sampling can be used to rapidly locate aggregations of fish (like spawning lake trout), describe their distribution, and estimate their abundance. To assess these capabilities for application to lake trout, we conducted an acoustic survey covering 22 km(2) at Sheboygan Reef, a deep reef (<40 m summit) in southern Lake Michigan during fall 2005. Data collected with remotely operated vehicles (ROV) confirmed that fish were large lake trout, that lake trout were 1-2 m above bottom, and that spawning took place over specific habitat. Lake trout density exhibited a high degree of spatial structure (autocorrelation) up to a range of similar to 190 m, and highest lake trout and egg densities occurred over rough substrates (rubble and cobble) at the shallowest depths sampled (36-42 m). Mean lake trout density in the area surveyed (similar to 2190 ha) was 5.8 fish/ha and the area surveyed contained an estimated 9500-16,000 large lake trout. Spatial aggregation in lake trout densities, similarity of depths and substrates at which high lake trout and egg densities occurred, and relatively low uncertainty in the lake trout density estimate indicate that acoustic sampling can be a useful complement to other sampling tools used in lake trout restoration research. (C) 2009 Elsevier Inc. All rights reserved.","10.1016/j.jglr.2008.11.005",NA,"43.85545","-87.08198","Salvelinus namaycush"
"9","Aerial Application of Organic Pellets Eliminates Lake Trout Recruitment from a Primary Spawning Reef in Yellowstone Lake","NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT",2023,"Invasive Lake Trout Salvelinus namaycush in the Yellowstone Lake ecosystem have been gillnetted since 1995 to suppress the population and allow for recovery of native Yellowstone Cutthroat Trout Oncorhynchus clarkii bouvieri. Although gillnetting is effective (Lake Trout population growth rate lambda <= 0.6 during 2012-2022), the effort only targets free-swimming, age-2 and older Lake Trout. We developed a complementary suppression method using organic (soy and wheat) pellets to cause Lake Trout embryo mortality and reduce recruitment from spawning areas. The entire Carrington Island spawning reef (0.5 ha) was aerially treated with 3.56 and 3.00 kg/m(2) of pellets in 2019 and 2020, respectively. Pellet decomposition caused dissolved oxygen concentrations to decline to lethal levels at 20 cm depth in the substrate, and pellets mostly dissipated from the reef within 12 d. Lake Trout fry trap CPUE was reduced to zero after ice-off each spring after the treatments. Prior to the treatments, 71 fry were captured during 58 trap-nights of effort in 2017-2019. After the treatments, no fry were captured during 273 trap-nights in 2020 and 2021. Lake Trout CPUE in large-mesh gill nets set near Carrington Island in September did not decline during 2017-2021 and fry were again trapped on the reef in spring 2022, suggesting that adults were not deterred from spawning there in the years after the pellet treatments. Complementary methods that increase mortality of prerecruits may allow for a reduction in gill-netting effort and the long-term costs of maintaining Lake Trout population suppression in Yellowstone Lake. Treatment of spawning areas may improve suppression efficiency for Lake Trout and invasive fish populations elsewhere because entire cohorts are targeted while immobile and temporarily concentrated in relatively small areas.","10.1002/nafm.10872",NA,"44.455003","-110.360777","Salvelinus namaycush"
"10","AGE AND SIZE AT SEXUAL MATURITY OF HEAVILY EXPLOITED ARCTIC CHAR AND BROWN TROUT IN LAKE ATNSJO, SOUTHEASTERN NORWAY","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",1991,"In Lake Atnsjo, southeastern Norway, Arctic char Salvelinus alpinus and brown trout Salmo trutta both attained sexual maturity mainly at 6 years of age and older, usually at a body length larger than 26 cm. Both species have been heavily exploited at least since the turn of the century. The annual survival rate was estimated at 0.38 for Arctic char (age-groups 6-9) and 0.49 for brown trout (age-groups 4-9). Mean female age at maturity was higher than the optimal age at maturity predicted if female reproductive success only depended on fecundity. We argue that reproductive advantages of larger parental body size, due to high competitive ability during spawning, favored late female maturation and also limited the selective effect by the fishery for earlier maturation.","10.1577/1548-8659(1991)120<0141:AASASM>2.3.CO;2",NA,"61.875264","10.177700","Salmo trutta"
